<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/MY%204055>	Mittel- und Westdeutschland | Deutschland (insgesamt) | Mitteleuropa | Europa | Gesamtdarstellungen zur Militärwissenschaft und zum Militärwesen | Allgemeines zur Militärwissenschaft | Militärwissenschaft | Hessen	MY 4055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ND%201550>	Archivinventare und Beschreibungen einzelner Archive Deutschlands und der ehemaligen deutschen Ostgebiete | Archivkunde | Historische Hilfswissenschaften | Geschichte | Hessen	ND 1550
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NN%202884>	Einzelne Persönlichkeiten | Karl V. (1519 - 1555) | Geschichte des Reichs (1517 - 1555) | Zeitalter der Reformation (1517 - 1555) | Neuere Geschichte | Geschichte | Philipp (Hessen, Landgraf, I.)	NN 2884
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NQ%206930>	Einzelne Länder | Deutsche Länder seit 1945 | Bundesrepublik Deutschland (bis 1990) | Deutsche Geschichte seit 1945 | Geschichte seit 1918 | Geschichte | Hessen	NQ 6930
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203790>	Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Quellen	NR 3790
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203795>	Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Darstellungsreihen	NR 3795
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203800>	Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Landesgeschichte	NR 3800
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203900>	Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Landschaftsgeschichte	NR 3900
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203950>	Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Einzelbeiträge	NR 3950
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203960>	Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Kirchengeschichte (allgemein)	NR 3960
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203965>	Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Kloster- und Stiftsgeschichte	NR 3965
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%204270>	Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Burgen, Schlösser, Residenzen und Herrensitze	NR 4270
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2060060>	Allgemeines | Landesgeschichte Hessen | Regionale Landeskunde | Geschichte | Geschichte der regionalhistorischen Forschung in Hessen	NZ 60060
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2060290>	Vor- und Frühgeschichte, Römerzeit und Völkerwanderung, Archäologie | Landesgeschichte Hessen | Regionale Landeskunde | Geschichte | Geschichte der Archäologie in Hessen	NZ 60290
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2060300>	Politische Geschichte Hessens | Landesgeschichte Hessen | Regionale Landeskunde | Geschichte | Gesamtdarstellungen, epochenübergreifende Darstellungen	NZ 60300
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2061000>	Geschichte einzelner hessischer Territorien | Landesgeschichte Hessen | Regionale Landeskunde | Geschichte | Landgrafschaft Hessen (1247-1567)	NZ 61000
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2061010>	Geschichte einzelner hessischer Territorien | Landesgeschichte Hessen | Regionale Landeskunde | Geschichte | Landgrafschaft Hessen-Kassel (1567-1806)	NZ 61010
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2061020>	Geschichte einzelner hessischer Territorien | Landesgeschichte Hessen | Regionale Landeskunde | Geschichte | Landgrafschaft Hessen-Darmstadt (1567-1806)	NZ 61020
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2061030>	Geschichte einzelner hessischer Territorien | Landesgeschichte Hessen | Regionale Landeskunde | Geschichte | Hessische Nebenlinien	NZ 61030
